howfundId,tejId,FRId,FCId,FDId
how545,T1041B,,,
how546,T1041C,FUB023,,
how547,T1041D,,,
how548,T1042A,FUB017,,
how549,T1042B,,,
how550,T1042C,FUB019,,
how551,T1042D,,,
how552,T1044A,FUB025,,
how553,T1044B,FUB026,,
how554,T1047A,FUB027,,
how555,T1047B,,,
how556,T1047C,FUB029,,
how557,T1047D,,,
how558,T1047E,,,
how559,T1047F,,,
how560,T1101Y,,,
how561,T1102Y,JPM007,,
how562,T1103Y,,,
how563,T1104Y,JPM003,,
how564,T1106Y,JPM004,,
how565,T1107Y,,,
how566,T1108Y,JPM005,,
how567,T1109Y,JPM010,,
how568,T1110Y,JPM027,,
how569,T1111Y,JPM002,,
how570,T1114Y,JPM009,,
how571,T1117Y,JPM006,,
how572,T1119Y,JPM017,,
how573,T1120A,,,
how574,T1120B,,,
how575,T1124Y,JPM024,,
how576,T1125Y,JPM025,,
how577,T1127Y,,,
how578,T1129Y,JPM026,,
how579,T1130Y,JPM008,,
how580,T1131Y,,,
how581,T1134Y,JPM011,,
how582,T1135Y,JPM012,,
how583,T1136Y,JPM013,,
how584,T1137B,,,
how585,T1137Y,JPM014,,
how586,T1139A,JPM015,,
how587,T1139B,,,
how588,T1140A,JPM016,,
how589,T1140B,,,
how590,T1140C,,,
how591,T1140E,,,
how592,T1141A,JPM018,,
how593,T1141B,,,
how594,T1142B,,,
how595,T1142Y,JPM001,,
how596,T1145A,JPM019,,
how597,T1145B,,,
how598,T1145C,,,
how599,T1145D,,,
how600,T1145E,,,
how601,T1146A,JPM020,,
how602,T1146B,,,
how603,T1146C,,,
how604,T1146D,,,
how605,T1148A,,,
how606,T1148B,,,
how607,T1148C,,,
how608,T1148D,,,
how609,T1150A,JPM022,,
how610,T1150B,,,
how611,T1150C,,,
how612,T1150D,,,
how613,T1155A,JPM023,,
how614,T1155B,,,
how615,T1155C,,,
how616,T1155D,,,
how617,T1201Y,,,
how618,T1203Y,,,
how619,T1204Y,,,
how620,T1207Y,,,
how621,T1208Y,,,
how622,T1213Y,,,
how623,T1217Y,,,
how624,T1222Y,,,
how625,T1233A,,,
how626,T1233B,,,
how627,T1233C,,,
how628,T1233D,,,
how629,T1238A,,,
how630,T1238B,,,
how631,T1238Y,,,
how632,T1239A,,,
how633,T1239B,,,
how634,T1239C,,,
how635,T1239D,,,
