基金碼,年月日,幣別,淨值(元),市價(元),溢(折)價(元),溢(折)價率%,淨值變動率%-日,淨值變動率%-週,近一個月變動率%,近三個月變動率%,近半年變動率%,近九個月變動率%,近一年變動率%,近二年變動率%,近三年變動率%,近四年變動率%,近五年變動率%,近六年變動率%,今年以來變動率%,成立以來變動率%,與上半年底比變動率%,與上月底比變動率%,與上季底比變動率%,與上週底比變動率%,與前二年底比變動率%,與前三年底比變動率%,與前四年底比變動率%,與前五年底比變動率%,基金統編,TEJ分類碼,
MSCI 摩根台股指數,2016-08-31 00:00:00,None,337.85,337.85,0,0,-0.486,0.562567,0.571548,7.328928,10.066786,10.42654,9.638163,-1.596132,19.045102,28.901183,23.555442,25.213105,10.592818,None,5.046328,0.571548,5.046328,-0.894691,None,None,None,None,None,None,
MSCIR 摩台TR,2016-08-31 00:00:00,None,639.265,639.27,0,0,-0.4587,0.612237,1.427327,11.28161,14.120432,14.490781,14.186069,6.127968,32.249502,47.252993,46.497771,54.462577,14.666162,None,7.317208,1.427327,7.317208,-0.848257,None,None,None,None,None,None,
OTC23 OTC 電子類,2016-08-31 00:00:00,None,171.01,171.01,0,0,0.4936,1.61022,2.254245,5.653033,4.798382,9.882413,24.199288,-4.244359,23.571067,32.054054,19.104332,-10.013681,6.934717,None,4.593272,2.254245,4.593272,1.201326,None,None,None,None,None,None,
OTC99 OTC 指數,2016-08-31 00:00:00,None,130.43,130.43,0,0,0.0614,0.508592,-0.076611,0.952012,2.322115,2.049918,20.545287,-7.25967,10.618268,24.837289,16.967088,-2.07958,1.069353,None,1.660171,-0.076611,1.660171,0.261358,None,None,None,None,None,None,
OTCTR 櫃檯報酬指數,2016-08-31 00:00:00,None,180.09,180.09,0,0,0.0945,0.738379,0.72711,3.714582,5.119075,4.843686,24.302871,-1.374589,20.679488,40.344451,36.173913,17.821394,3.834179,None,3.918061,0.72711,3.918061,0.367831,None,None,None,None,None,None,
R000010 上證180全收益,2016-08-31 00:00:00,None,9128.913,9128.91,0,0,0.3599,-0.171697,3.451581,6.843616,17.753499,-5.395865,-0.213414,45.712664,53.103508,66.259492,36.041082,33.705346,-8.574912,None,7.415076,3.451581,7.415076,0.46615,None,None,None,None,None,None,
R000016 上證50全收益,2016-08-31 00:00:00,None,2912.673,2912.67,0,0,0.3889,0.022321,3.900061,6.252221,17.963916,-1.724021,3.995474,48.467675,53.07525,62.232826,40.298924,36.728265,-5.180654,None,7.081755,3.900061,7.081755,0.603968,None,None,None,None,None,None,
R000300 滬深300全收益,2016-08-31 00:00:00,None,3975.836,3975.84,0,0,0.4805,-0.05151,4.067708,6.957846,18.137428,-4.644137,1.093924,47.759453,53.514887,65.172917,30.498613,29.644994,-8.862146,None,6.794317,4.067708,6.794317,0.629339,None,None,None,None,None,None,
R000998 中證TMT全收益,2016-08-31 00:00:00,None,2412.261,2412.26,0,0,-0.2273,-0.211799,2.969134,4.806637,18.527791,-16.997842,4.769629,52.530904,93.778939,203.407303,None,None,-19.402891,None,1.099146,2.969134,1.099146,0.046078,None,None,None,None,None,None,
R399333 中小板R,2016-08-31 00:00:00,None,7602.858,7602.86,0,0,-0.078,-0.113683,3.399926,5.186105,17.022569,-14.010733,-1.597851,35.570391,46.317308,73.346463,27.817772,18.349993,-16.37489,None,1.164269,3.399926,1.164269,0.274623,None,None,None,None,None,None,
R399606 創業板R,2016-08-31 00:00:00,None,2267.087,2267.09,0,0,-0.1719,-0.018787,3.26735,1.598581,16.968924,-17.712958,10.132051,54.738136,86.851731,215.355425,144.222375,120.864837,-18.970214,None,-1.572906,3.26735,-1.572906,0.091744,None,None,None,None,None,None,
S000001 上海綜指,2016-08-31 00:00:00,None,3085.491,3085.49,0,0,0.3517,-0.012606,3.562938,5.790101,14.788508,-10.446203,-3.758408,39.1616,47.041435,50.693912,20.182407,16.927897,-12.819092,None,5.321023,3.562938,5.321023,0.494478,None,None,None,None,None,None,
S000010 上証180,2016-08-31 00:00:00,None,7138.265,7138.27,0,0,0.3599,-0.174932,3.251073,4.609061,15.03371,-7.636405,-2.673609,39.771369,42.385586,50.27205,20.238376,16.424055,-10.724472,None,5.973645,3.251073,5.973645,0.462889,None,None,None,None,None,None,
S000016 上証50,2016-08-31 00:00:00,None,2232.712,2232.71,0,0,0.3889,0.022354,3.594636,3.574596,14.815354,-4.433439,1.007262,41.196142,40.441836,43.934595,21.241635,16.050932,-7.769701,None,5.185965,3.594636,5.185965,0.603972,None,None,None,None,None,None,
S000300 滬深300,2016-08-31 00:00:00,None,3327.793,3327.79,0,0,0.4772,-0.062165,3.865971,4.992303,15.650084,-6.69073,-1.150827,42.31756,43.816873,50.929353,16.896904,14.625474,-10.807061,None,5.512884,3.865971,5.512884,0.626019,None,None,None,None,None,None,
S000998 中證TMT,2016-08-31 00:00:00,None,2343.803,2343.8,0,0,-0.2273,-0.211812,2.95855,4.546412,18.025297,-17.349758,4.321053,51.459634,91.31727,197.509041,None,None,-19.744592,None,0.980376,2.95855,0.980376,0.0461,None,None,None,None,None,None,
