fundID,net
ABGVPIEUR,13.89
ABGVPIUSD,15.47
ABGVPS1EUR,14.43
ABGVPS1USD,16.07
ABGVPSDUSD,88.13
ABIGFAEUR,132.74
ABIGFAUSD,147.82
ABIGFBEUR,130.29
ABIGFBUSD,145.1
ABIGFCEUR,118.41
ABIGFCUSD,131.87
ABIGFIEUR,126.68
ABIGFIUSD,141.07
ABIGFS1EUR,13.22
ABIGFS1USD,14.72
ABIGFSUSD,13.43
ABIHCAEUR,232.02
ABIHCAUSD,258.39
ABIHCBEUR,183.4
ABIHCBUSD,204.24
ABIHCCEUR,215.94
ABIHCCUSD,240.48
ABIHCIEUR,267.04
ABIHCIUSD,297.38
ABIHCS1EUR,88.59
ABIHCS1USD,98.66
ABILFAEUR,117.9
ABILFAUSD,131.3
ABILFBEUR,94.44
ABILFBUSD,105.17
ABITFAEUR,169.63
ABITFAUSD,188.91
ABITFBEUR,137.73
ABITFBUSD,153.38
ABITFCEUR,159.2
ABITFCUSD,177.29
ABITFIEUR,200.35
ABITFIUSD,223.12
ABITFS1EUR,93.58
ABITFS1USD,104.21
ABJSVADAUDH,13.35
ABJSVADJPY,9331
ABJSVADNZDH,13.52
ABJSVADUSDH,12.61
ABJSVADZARH,90.41
ABJSVAEUR,70.34
ABJSVAHEDGE,19.69
ABJSVAJPY,8033
ABJSVAUSD,78.33
ABJSVAUSDH,21.6
ABJSVBDAUDH,13.28
ABJSVBDJPY,9311
ABJSVBDUSDH,12.56
ABJSVBDZARH,90.6
ABJSVBEUR,63.74
ABJSVBJPY,7279
ABJSVBUSD,70.98
ABJSVCEUR,67.15
ABJSVCJPY,7669
ABJSVCUSD,74.79
ABJSVIEUR,76.08
ABJSVIJPY,8688
ABJSVIUSD,84.72
ABJSVIUSDH,22.42
ABJSVS1EUR,78.78
ABJSVS1JPY,8997
ABJSVS1USD,87.74
ABJSVS1USDH,15.77
ABJSVSDJPY,9796
ABLVEADAUDH,16.88
ABLVEADUSD,17.01
ABLVEAUSD,21.95
ABLVES1USD,22.93
ABLVESUSD,23.35
ABMOPA2USD,15.61
ABMOPAAAUDH,13.35
ABMOPAAUSD,13.39
ABMOPAAZARH,89.57
ABMOPAUSD,13.88
ABMOPBAAUDH,12.99
ABMOPBAUSD,13.03
ABMOPBAZARH,87.3
ABMOPBUSD,13.9
ABMOPI2USD,15.81
ABMOPS1USD,14.53
ABMOPSAUSD,91.51
ABRIF,155.4179
ABRIG,139.172
ABSMDA2EUR,9.99
ABSMDA2USD,11.12
ABSMDAEUR,6.04
ABSMDATEUR,6.04
ABSMDATUSD,6.73
ABSMDAUSD,6.73
ABSMDB2EUR,9.66
ABSMDB2USD,10.76
ABSMDBEUR,6.04
ABSMDBUSD,6.73
ABSMDC2EUR,13.65
ABSMDC2USD,15.2
ABSMDCEUR,6.04
ABSMDCUSD,6.73
